"INCLUDE (Yes/No)","NAME","PRICE","NOTES","Category","Metal Colour","TMC Original Name","TMC Price (AUD ref)","Image File","Image Path","TMC Handle"
"","","","","Engagement","White Gold","The Maya Ring - Pear Curved Solitaire","921.00","white.jpg","images/the-maya-ring-pear-ascend-signature-solitaire/white.jpg","the-maya-ring-pear-ascend-signature-solitaire"
"","","","","Engagement","Rose Gold","The Maya Ring - Pear Curved Solitaire","921.00","rose.jpg","images/the-maya-ring-pear-ascend-signature-solitaire/rose.jpg","the-maya-ring-pear-ascend-signature-solitaire"
"","","","","Engagement","Yellow Gold","The Isla Ring - Round Solitaire","831.00","yellow.jpg","images/the-isla-ring-round-solitaire-new/yellow.jpg","the-isla-ring-round-solitaire-new"
"","","","","Engagement","White Gold","The Isla Ring - Round Solitaire","831.00","white.jpg","images/the-isla-ring-round-solitaire-new/white.jpg","the-isla-ring-round-solitaire-new"
"","","","","Engagement","Rose Gold","The Isla Ring - Round Solitaire","831.00","rose.jpg","images/the-isla-ring-round-solitaire-new/rose.jpg","the-isla-ring-round-solitaire-new"
"","","","","Engagement","Yellow Gold","The Sophia Ring - Pear Solitaire","841.00","yellow.jpg","images/the-sophia-ring-4-claw-pear-solitaire/yellow.jpg","the-sophia-ring-4-claw-pear-solitaire"
"","","","","Engagement","White Gold","The Sophia Ring - Pear Solitaire","841.00","white.jpg","images/the-sophia-ring-4-claw-pear-solitaire/white.jpg","the-sophia-ring-4-claw-pear-solitaire"
"","","","","Engagement","Rose Gold","The Sophia Ring - Pear Solitaire","841.00","rose.jpg","images/the-sophia-ring-4-claw-pear-solitaire/rose.jpg","the-sophia-ring-4-claw-pear-solitaire"
"","","","","Engagement","Yellow Gold","The Audrey Ring - Emerald Bezel Solitaire","852.00","yellow.jpg","images/the-audrey-ring-emerald-bezel-solitaire/yellow.jpg","the-audrey-ring-emerald-bezel-solitaire"
"","","","","Engagement","White Gold","The Audrey Ring - Emerald Bezel Solitaire","852.00","white.jpg","images/the-audrey-ring-emerald-bezel-solitaire/white.jpg","the-audrey-ring-emerald-bezel-solitaire"
"","","","","Engagement","Rose Gold","The Audrey Ring - Emerald Bezel Solitaire","852.00","rose.jpg","images/the-audrey-ring-emerald-bezel-solitaire/rose.jpg","the-audrey-ring-emerald-bezel-solitaire"
