"INCLUDE (Yes/No)","NAME","PRICE","NOTES","Ring Image","Metal Colour","TMC Original Name"
"","","","","=IMAGE(""https://cdn.shopify.com/s/files/1/0544/6408/6189/files/Yellow1080_Top_Amira_ring_Oval_00000.jpg?v=1766453577"")","Yellow Gold","The Amira Ring™ - Oval with Marquise Accents"
"","","","","=IMAGE(""https://cdn.shopify.com/s/files/1/0544/6408/6189/files/Rose1080_Top_Amira_ring_Oval_00000.jpg?v=1766453577"")","Rose Gold","The Amira Ring™ - Oval with Marquise Accents"
"","","","","=IMAGE(""https://cdn.shopify.com/s/files/1/0544/6408/6189/files/Top_5723_Yellow_00000.jpg?v=1696481859"")","Yellow Gold","The Luise Ring® - Oval Solitaire"
"","","","","=IMAGE(""https://cdn.shopify.com/s/files/1/0544/6408/6189/files/Top_5723_White_00000.jpg?v=1766453741"")","White Gold","The Luise Ring® - Oval Solitaire"
"","","","","=IMAGE(""https://cdn.shopify.com/s/files/1/0544/6408/6189/files/Top_5723_Rose_00000.jpg?v=1766453741"")","Rose Gold","The Luise Ring® - Oval Solitaire"
"","","","","=IMAGE(""https://cdn.shopify.com/s/files/1/0544/6408/6189/files/Top_6153_Yellow_00000.jpg?v=1698358032"")","Yellow Gold","The Audrey Ring - Emerald Solitaire"
